identifier	date	year	creator	title	language	collection
dellebasilichean00arna	1769-01-01T00:00:00Z	1769	Arnaldi, Enea, conte, 1716-1794	Delle basiliche antiche : e specialmente di quella di Vicenza del celebre Andrea Palladio	ita	getty; americana; fav-javier_de_la_torre; fav-marcosalmeida724157; fav-rafa_cerq
bim_eighteenth-century_a-collection-of-painting_1707	1707-01-01T00:00:00Z	1707		A collection of paintings, japan-work, and several other rarities, lately belonging to a person of quality deceased, will be sold by auction at the West End of Exeter-Change above 	English	pub_eighteenth-century; bim_microfilm; microfilm
bub_gb_O18C5S764w4C	1846-01-01T00:00:00Z	1846	Giuseppe Defendi	Risposta del professore ab. Giuseppe Defendi alle critiche di Pietro Selvatico intorno al monumento sepolcrale di Andrea Palladio scolpito in marmo dal commendatore Giuseppe DeFabr	Italian	bncfirenze; europeanlibraries
dellavitaedelleo00scol	1837-01-01T00:00:00Z	1837	Scolari, Filippo	Della vita e delle opere dell'architetto Vincenzo Scamozzi, commentario : giuntevi le notizie di Andrea Palladio	ita	getty; americana; fav-helgiklimov; fav-rafa_cerq
bollack-killian-slides-000951	1988-09-01T00:00:00Z	1988	Françoise Astorg Bollack	front facade of Villa Barbaro (Maser, 1988)	eng	bollack-killian-slides; patron-library-collection
villa-bissaro-en-retorgole..	1790-01-01T00:00:00Z	1790	Bertotti Scamozzi, Ottavio, 1719-1790; Foppiani, Celestino; Bertotti Scamozzi, Ottavio, 1719-1790. Terme dei Romani disegnate da Andrea Palladio	VILLA BISSARO EN RETORGOLE..Andrea Palladio Bertotti Scamozzi, Ottavio,	ita	opensource_image
traittedescinqor00pall	1682-01-01T00:00:00Z	1682	Palladio, Andrea, 1508-1580; Le Muet, Pierre, 1591-1669. Manière de bastir pour touttes sortes de personnes; Wetstein, Henricus	Traitté des cinq ordres d'architecture dont se sont servi les anciens	fre; ita	getty; americana; fav-19omhs72; fav-alvelin; fav-cuncemaille; fav-emchateau; fav-steve_k761; fav-tarek_al-hariri
gri_33125011213648	1790-01-01T00:00:00Z	1790	Langley, Batty, 1696-1751; Langley, Batty, 1696-1751. Builder's compleat chest-book; Palladio, Andrea, 1508-1580; Langley, T. (Thomas), 1702-1751; I. and J. Taylor's Architectural 	The builder's complete assistant, or, A library of arts and sciences, absolutely necessary to be understood by builders and workmen in general : viz. I. Arithmetick, vulgar and dec	eng	getty; americana; fav-19omhs72; fav-1ig; fav-a_fisher; fav-aaguado-1; fav-abbykc11; fav-abdccharpente; fav-adriana_sigveters; fav-adxlfxitxer; fav-ahmontoya; fav-aim_albornoz; fav-
N1SRP_20260411_153000	2026-04-11T00:00:00Z	2026		N1SRP : April 11, 2026 5:30pm-6:01pm CEST	srp	TV-N1SRP; tvarchive; tvnews
McGillLibrary-rbsc_sono-stati-copiati-li-detti-numero_elfNA2810P351740-22586	1740-01-01T00:00:00Z	1740	Palladio, Andrea, 1508-1580	Sono stati copiati li detti numero cinque ordini d'architettura dal disegnio originale fatto da Andrea Palladio nel Palazzo dell' Eminen. Sig. Cardinale Alesandro Albani in Roma	Italian	mcgilluniversity; mcgilluniversityrarebooks; toronto; fav-jscull
bollack-killian-slides-000961	1988-09-01T00:00:00Z	1988	Françoise Astorg Bollack	Villa Barbara: exterior side view of villa with arcaded loggia (Maser, 1988)	eng	bollack-killian-slides; patron-library-collection
iquattrolibridel01pall	1581-01-01T00:00:00Z	1581	Palladio, Andrea (1508-1580)	I quattro libri dell'architettura di Andrea Palladio.	english	glasgowschoolofart; nlsarchitecture; nationallibraryofscotland; europeanlibraries; fav-19omhs72; fav-433_740; fav-_tefan_b_lici; fav-aanon; fav-amedeol_oro; fav-andreuia; fav-archi
CHEPFL_LIPR_AXB223_4	1796-01-01T00:00:00Z	1796	Palladio, Andrea	Le fabbriche e i disegni di Andrea Palladio, t.4	Italian	epf-library; europeanlibraries; fav-gerolamo_trequattrini; fav-gyoung1618; fav-irinashavrina; fav-philip_mcgee277; fav-weareyoung5833
